"Plane Type","Real Arrival Time"
"Blue","0"
"Red","1"
"Blue","3"
"Red","3"
"Blue","4"
"Red","4"
"Blue","6"
"Red","6"
"Blue","8"
"Red","8"
"Blue","10"
"Red","10"
"Blue","11"
"Red","11"
"Red","12"
"Blue","14"
"Blue","15"
"Red","15"
"Blue","16"
"Red","16"
"Blue","17"
"Red","18"
"Blue","19"
"Red","20"
"Blue","21"
"Blue","22"
"Blue","23"
"Red","23"
"Red","24"
"Blue","25"
"Blue","26"
"Red","26"
"Blue","28"
"Red","28"
"Red","29"
"Blue","30"
"Blue","31"
"Red","31"
"Red","33"
"Red","34"
"Blue","34"
"Red","37"
"Blue","38"
"Red","38"
"Blue","40"
"Red","40"
"Blue","41"
"Red","41"
"Red","42"
"Blue","43"
"Blue","44"
"Red","44"
"Blue","45"
"Blue","46"
"Red","46"
"Red","47"
"Blue","48"
"Red","49"
"Red","50"
"Red","51"
"Red","53"
"Red","54"
"Blue","55"
"Red","56"
"Blue","57"
"Red","58"
"Red","60"
"Red","62"
"Red","63"
"Red","64"
"Red","65"
"Blue","67"
"Red","67"
"Red","68"
"Blue","69"
"Blue","71"
"Blue","72"
"Blue","73"
"Blue","75"
"Blue","78"
"Blue","81"
"Blue","83"
"Blue","84"
"Blue","85"
"Blue","86"
"Blue","91"
"Red","92"
"Blue","93"
"Red","95"
"Red","96"
"Red","98"
"Red","100"
"Red","101"
"Blue","102"
"Blue","104"
"Red","104"
"Blue","105"
"Red","105"
"Red","106"
"Blue","107"
"Red","108"
"Blue","109"
"Red","109"
"Red","110"
"Blue","111"
"Blue","112"
"Red","112"
"Blue","113"
"Red","113"
"Blue","115"
"Red","115"
"Blue","116"
"Red","116"
"Red","117"
"Blue","119"
"Red","119"
"Blue","120"
"Red","120"
"Red","121"
"Red","122"
"Blue","123"
"Blue","123"
"Red","124"
"Red","124"
"Red","125"
"Blue","127"
"Blue","128"
"Red","128"
"Blue","130"
"Red","130"
"Red","131"
"Blue","133"
"Red","133"
"Blue","134"
"Red","134"
"Red","136"
"Blue","137"
"Red","138"
"Red","140"
"Blue","141"
"Blue","142"
"Blue","143"
"Red","143"
"Red","144"
"Blue","147"
"Red","147"
"Blue","148"
"Red","149"
"Red","149"
"Blue","150"
"Blue","151"
"Blue","152"
"Red","152"
"Blue","153"
"Blue","154"
"Blue","156"
"Red","156"
"Blue","157"
"Blue","158"
"Red","159"
"Blue","160"
"Red","161"
"Red","163"
"Blue","164"
"Blue","166"
"Red","166"
"Blue","167"
"Red","167"
"Blue","169"
"Red","169"
"Red","169"
"Red","171"
"Blue","172"
"Blue","172"
"Red","172"
"Red","173"
"Blue","174"
"Red","175"
"Red","176"
"Blue","177"
"Red","178"
"Red","179"
"Red","180"
"Red","181"
"Blue","183"
"Red","183"
"Red","184"
"Red","186"
"Blue","187"
"Blue","187"
"Red","188"
"Blue","189"
"Red","189"
"Blue","191"
"Red","191"
"Red","192"
"Blue","193"
"Blue","194"
"Red","194"
"Blue","196"
"Red","196"
"Red","197"
"Blue","198"
"Red","198"
"Blue","199"
"Blue","200"
"Red","201"
"Blue","202"
"Red","202"
"Blue","203"
"Red","204"
"Blue","205"
"Blue","206"
"Red","206"
"Blue","207"
"Red","207"
"Blue","208"
"Blue","209"
"Red","209"
"Red","210"
"Blue","212"
"Red","212"
"Blue","214"
"Red","214"
"Blue","215"
"Red","215"
"Blue","216"
"Blue","217"
"Red","218"
"Red","221"
"Red","222"
"Blue","223"
"Blue","225"
"Red","225"
"Red","226"
"Blue","226"
"Blue","227"
"Red","227"
"Blue","230"
"Red","230"
"Red","231"
"Blue","234"
"Red","234"
"Blue","235"
"Red","235"
"Blue","236"
"Red","237"
"Red","238"
"Blue","239"
"Blue","240"
"Red","240"
