"Plane Type","Arrival Time","","",""
"Blue","0","","",""
"Blue","3","","",""
"Blue","4","","",""
"Blue","5","","",""
"Blue","6","","",""
"Blue","8","","",""
"Blue","10","","",""
"Blue","11","","",""
"Blue","12","","",""
"Blue","14","","",""
"Blue","15","","",""
"Blue","17","","",""
"Blue","19","","",""
"Blue","20","","",""
"Blue","23","","",""
"Blue","27","","",""
"Blue","29","","",""
"Blue","30","","",""
"Blue","32","","",""
"Blue","33","","",""
"Blue","34","","",""
"Blue","35","","",""
"Blue","37","","",""
"Blue","44","","",""
"Blue","46","","",""
"Blue","56","","",""
"Blue","58","","",""
