Plane Type,Simulated Arrival Time
Blue,0
Red,0.75
Red,1.5
Red,2.25
Red,3.779797238
Red,4.529797238
Red,6.130531483
Red,6.880531483
Red,7.630531483
Blue,9.204697753
Red,9.954697753
Blue,10.70469775
Red,11.45469775
Red,13.09650184
Red,13.84650184
Red,14.59650184
Red,16.19088124
Red,17.69354476
Red,19.41756828
Blue,20.16756828
Blue,20.91756828
Blue,21.66756828
Red,22.41756828
Red,23.99191534
Blue,24.74191534
Blue,25.49191534
Red,26.24191534
Blue,26.99191534
Red,27.74191534
Red,28.49191534
Blue,29.24191534
Blue,29.99191534
Blue,30.74191534
Red,31.49191534
Red,33.29952369
Blue,34.04952369
Red,34.79952369
Blue,35.54952369
Blue,36.29952369
Red,37.04952369
Red,38.62226445
Red,39.37226445
Blue,40.99017468
Red,41.74017468
Red,43.27882906
Blue,44.02882906
Blue,44.77882906
Red,45.52882906
Red,47.34924195
Blue,48.87304244
Red,49.62304244
Red,51.19003211
Red,52.9059406
Red,54.60586739
Red,56.36289673
Blue,58.11294088
Blue,58.86294088
Red,59.61294088
Red,61.37592357
Red,63.01392566
Red,64.69287719
Red,66.53019654
Red,67.28019654
Blue,68.03019654
Blue,68.78019654
Blue,69.53019654
Red,70.28019654
Red,71.03019654
Red,72.58808426
Red,74.41579012
Red,76.03103398
Red,76.78103398
Red,77.53103398
Red,79.28027748
Red,80.03027748
Red,81.71328918
Red,83.43094592
Blue,85.18256989
Blue,85.93256989
Red,86.68256989
Blue,88.49944649
Red,89.24944649
Blue,91.08300217
Blue,91.83300217
Red,92.58300217
Red,94.3107547
Blue,95.88230272
Red,96.63230272
Red,97.38230272
Red,99.04450954
Red,99.79450954
Red,100.5445095
Red,102.2945221
Red,103.0445221
Red,103.7945221
Blue,105.3276441
Blue,106.0776441
Blue,106.8276441
Red,107.5776441
Red,108.3276441
Blue,110.1062871
Red,110.8562871
Red,111.6062871
Red,112.3562871
Red,113.1062871
Red,113.8562871
Blue,114.6062871
Red,115.3562871
Blue,117.2000549
Blue,117.9500549
Red,118.7000549
Blue,119.4500549
Red,120.2000549
Red,121.9271841
Red,122.6771841
Red,123.4271841
Red,125.0059317
Red,126.628108
Red,128.4277849
Red,129.1777849
Red,130.7570891
Blue,132.5737249
Red,133.3237249
Red,135.0558384
Red,135.8058384
Blue,137.5106305
Blue,138.2606305
Red,139.0106305
Red,139.7606305
Red,141.3791292
Blue,143.1122565
Red,143.8622565
Blue,144.6122565
Red,145.3622565
Red,147.100702
Red,147.850702
Red,148.600702
Red,150.1119174
Blue,151.7213892
Red,152.4713892
Red,153.2213892
Red,154.8481695
Red,156.4856103
Red,158.2550948
Red,159.0050948
Blue,160.7636427
Blue,161.5136427
Blue,162.2636427
Red,163.0136427
Red,163.7636427
Blue,165.3442527
Red,166.0942527
Red,166.8442527
Red,168.6034809
Red,169.3534809
Blue,171.136359
Red,171.886359
Red,173.5134004
Red,174.2634004
Red,175.9250986
Red,177.4306444
Blue,179.0606809
Red,179.8106809
Red,180.5606809
Red,181.3106809
Red,183.094586
Blue,184.9418828
Red,185.6918828
Red,186.4418828
Red,188.188804
Red,190.0245306
Red,190.7745306
Red,191.5245306
Red,192.2745306
Red,193.850576
Red,194.600576
Red,196.278014
Blue,197.028014
Red,197.778014
Red,199.530327
Red,201.0863721
Red,201.8363721
Blue,202.5863721
Red,203.3363721
Red,204.0863721
Blue,204.8363721
Red,205.5863721
Red,207.2528367
Red,208.7601896
Red,210.4312377
Red,211.1812377
Blue,211.9312377
Blue,212.6812377
Red,213.4312377
Blue,214.1812377
Red,214.9312377
Red,215.6812377
Red,217.353793
Red,218.103793
Red,219.7481046
Blue,221.4836985
Blue,222.2336985
Red,222.9836985
Blue,223.7336985
Red,224.4836985
Blue,225.2336985
Blue,225.9836985
Red,226.7336985
Blue,228.4580868
Red,229.2080868
Red,230.8108209
Red,231.5608209
Blue,233.2633061
Red,234.0133061
Red,234.7633061
Red,236.5899019
Red,237.3399019
Blue,239.0630923
Red,239.8130923
